peak,T96h-Mac-Rep1,T96h-Mac-Rep2,T96h-Mac-Rep3,T96h-Neu-Rep1,T96h-Neu-Rep2,T96h-Neu-Rep3,T96h-Mon-Rep1,T96h-Mon-Rep2,T96h-Mon-Rep3
chr1_18902610_18903163,17,63,86,49,13,39,11,50,37
chr1_18956587_18957086,6,19,27,44,9,19,11,32,31
chr1_19210065_19210668,12,87,68,97,8,29,15,80,64
chr1_19251300_19251978,10,58,53,45,7,20,3,36,34
chr1_19311772_19312769,30,135,94,68,15,26,9,76,56
chr1_19485644_19486143,6,39,30,38,12,19,4,41,37
chr1_19596677_19597254,10,56,41,42,14,25,8,31,46
chr1_19882064_19882563,13,62,50,61,7,23,8,70,39
chr1_20507814_20508371,10,46,39,51,5,9,7,35,24
chr1_20661283_20661853,17,84,80,98,15,26,9,71,92
chr1_20786146_20787338,29,134,100,140,16,43,13,121,108
chr1_21176729_21177228,7,51,49,47,11,34,5,53,42
chr1_21324501_21325000,8,41,51,6,3,5,4,14,22
chr1_21334044_21334695,15,58,51,37,6,29,4,45,54
chr1_21508664_21509163,8,26,33,10,4,4,0,9,5
chr1_21782921_21783941,25,81,85,106,20,27,17,82,93
chr1_21815571_21816417,15,55,73,21,12,15,1,20,11
chr1_22025267_22026144,17,56,43,36,5,20,7,53,34
chr1_22052395_22052894,8,39,49,39,6,13,10,31,31
chr1_22451541_22452160,11,49,36,40,7,22,8,37,34
chr1_23019043_23019762,20,57,40,52,10,21,6,41,36
chr1_23169607_23170106,8,46,43,9,2,8,4,10,17
chr1_23344211_23344842,18,92,98,104,21,44,7,149,99
chr1_23368053_23369183,38,151,176,173,30,78,20,155,158
chr1_23691451_23691969,6,31,33,26,11,15,3,23,21
chr1_23778166_23778337,2,7,11,7,7,7,1,6,10
chr1_23790817_23791316,7,21,32,21,7,4,3,27,25
chr1_23800608_23801230,9,40,26,39,8,29,11,45,31
chr1_23959434_23960136,9,66,61,64,18,22,10,57,50
chr1_23979801_23980762,22,101,58,81,17,36,11,78,76
chr1_24189989_24190494,7,52,29,14,0,8,5,48,44
chr1_24413505_24414052,6,23,29,23,4,16,10,24,20
chr1_24642802_24643301,28,110,90,136,10,42,16,135,86
chr1_24668944_24669632,18,64,53,93,23,66,13,49,33
chr1_24671478_24671639,2,10,17,32,9,19,5,16,16
chr1_24744882_24745396,16,77,68,127,13,48,7,88,88
chr1_25022316_25022962,17,70,70,57,16,31,17,74,64
chr1_25118555_25119054,13,35,39,4,2,6,3,6,2
chr1_25239604_25240200,9,40,68,43,14,27,4,58,52
chr1_25246846_25247869,20,118,97,205,10,70,14,112,116
chr1_25337897_25338665,8,82,55,94,15,35,10,69,74
chr1_25429949_25431066,17,100,84,88,21,34,22,95,82
chr1_25543377_25544007,9,40,28,18,5,8,1,19,10
chr1_25730591_25731090,9,61,60,8,1,5,3,9,5
chr1_25809493_25809992,23,110,115,22,3,9,5,24,18
chr1_25819696_25820195,7,53,53,28,7,17,10,40,28
chr1_25859066_25859588,8,36,27,42,11,23,3,31,30
chr1_25997936_25998472,7,81,73,94,10,34,11,71,79
chr1_26110882_26112131,18,97,76,111,22,63,18,98,79
chr1_26169657_26170156,10,32,24,27,6,23,5,28,24
chr1_26233807_26234348,25,94,87,105,17,47,12,105,108
chr1_26279893_26280062,7,24,22,16,2,10,8,13,11
chr1_26289047_26289546,11,36,48,16,2,13,2,28,22
chr1_26306460_26306959,8,46,50,42,7,34,6,34,45
chr1_26378285_26378784,7,45,42,15,3,5,5,15,17
chr1_26431970_26432575,15,94,89,96,17,38,12,94,97
chr1_26500052_26500551,3,24,23,26,4,13,4,17,20
chr1_26541801_26542767,27,135,165,134,22,62,25,133,139
chr1_26620477_26621156,17,66,40,99,7,42,10,65,70
chr1_26771638_26772137,9,29,40,13,2,4,2,5,7
chr1_26787799_26788403,10,61,51,70,13,27,6,59,54
chr1_26864930_26865433,15,60,56,57,8,28,14,63,60
chr1_26921310_26921872,14,66,61,66,19,35,7,71,73
chr1_27012655_27013154,9,27,26,28,5,24,6,23,30
chr1_27099016_27099918,13,37,62,11,5,9,9,18,10
chr1_27111955_27112454,14,65,92,26,4,21,8,44,53
chr1_27154878_27155377,7,62,48,53,8,32,7,59,44
chr1_27234083_27234780,18,73,60,110,28,52,7,110,107
chr1_27321846_27322427,19,96,88,88,12,37,14,84,77
chr1_27342729_27343683,13,92,69,37,7,23,12,50,47
chr1_27489921_27490446,12,61,58,55,9,30,14,68,86
chr1_27525384_27525883,10,33,36,22,4,16,5,13,11
chr1_27618408_27618907,11,61,74,18,2,5,2,12,15
chr1_27625080_27625579,10,46,51,7,2,7,0,13,17
chr1_27631032_27631531,11,54,68,7,3,11,2,7,6
chr1_27659992_27660161,3,9,11,11,2,3,3,12,10
chr1_27725469_27726111,19,104,123,149,12,63,19,118,108
chr1_27772791_27773342,17,100,86,60,12,21,11,67,73
chr1_27830473_27830972,5,35,37,48,6,16,14,29,31
chr1_27863141_27863640,5,50,62,20,5,7,5,30,36
chr1_27914469_27915045,18,71,102,66,13,42,10,66,63
chr1_28112746_28113245,7,26,40,13,5,7,0,25,17
chr1_28235705_28236376,11,65,46,52,8,19,13,43,60
chr1_28247013_28247600,16,53,58,61,12,29,14,69,54
chr1_28259113_28259736,20,61,62,50,11,28,9,49,60
chr1_28328783_28329282,5,35,40,59,7,24,9,61,55
chr1_28369443_28370249,13,60,45,42,11,33,10,45,26
chr1_28437855_28438354,11,14,22,4,1,5,2,10,5
chr1_28505741_28506271,13,42,50,92,11,32,4,59,64
chr1_28552631_28553565,19,77,68,68,8,33,11,72,75
chr1_28581348_28582234,23,107,76,136,17,62,16,99,88
chr1_28642849_28643348,14,53,55,58,10,27,8,66,38
chr1_28648026_28648525,9,30,30,25,6,10,3,24,19
chr1_28668424_28669371,12,66,49,35,9,15,9,44,34
chr1_28736520_28737050,17,73,55,66,12,23,3,56,58
chr1_28914229_28915032,17,83,55,94,11,43,10,74,66
chr1_29181217_29182370,16,123,105,113,23,47,10,107,78
chr1_29202805_29203304,7,18,25,17,9,6,10,15,23
chr1_29230573_29231072,4,35,46,24,8,12,7,28,18
chr1_30717996_30719028,23,118,120,166,31,71,22,144,161
chr1_30756584_30757095,12,111,118,32,5,26,13,85,78
chr1_31065508_31066034,14,38,57,61,9,31,10,66,48
chr1_31296556_31297196,27,125,120,123,23,56,21,98,115
chr1_31394582_31395081,3,20,24,23,3,5,12,29,16
chr1_31573890_31574389,13,56,69,11,2,2,2,10,5
chr1_31625625_31626124,7,22,28,10,2,4,0,6,4
chr1_31644604_31645229,20,99,96,107,27,49,21,106,106
chr1_31798526_31799025,16,58,66,11,5,4,3,5,11
chr1_31938144_31938829,15,90,74,84,14,47,15,93,80
chr1_31957566_31958065,3,14,8,11,5,5,7,20,23
chr1_32013322_32014037,27,124,71,154,14,50,19,139,114
chr1_32072432_32073553,20,100,72,87,16,38,18,84,70
chr1_32107789_32108288,7,28,18,26,6,19,4,19,25
chr1_32179407_32180112,21,112,90,76,10,29,12,68,58
chr1_32222089_32222588,9,44,40,24,4,13,5,45,37
chr1_32291647_32292264,12,49,63,50,15,34,8,50,48
chr1_32394279_32394933,32,122,143,118,22,54,25,113,100
chr1_32650232_32650731,6,50,49,41,5,16,6,32,28
chr1_32650855_32651405,13,64,61,88,16,40,9,53,59
chr1_32725105_32726028,13,90,95,21,2,15,6,12,11
chr1_32733796_32734295,11,63,44,10,3,5,1,4,3
chr1_32817176_32817798,20,100,86,120,14,45,14,116,82
chr1_32963758_32964320,8,25,35,6,5,8,4,22,6
chr1_32964665_32965164,8,40,48,32,5,10,3,23,25
chr1_32992380_32992879,3,18,24,40,6,16,12,33,56
chr1_33036762_33037268,11,80,64,54,19,34,4,75,63
chr1_33127043_33127687,18,96,106,76,12,39,19,74,87
chr1_33334941_33335440,10,17,22,7,4,10,2,14,22
chr1_33430882_33431422,16,71,62,55,16,32,5,62,33
chr1_33433721_33434250,10,54,43,21,2,9,14,49,41
chr1_33472256_33472755,14,58,56,43,11,14,8,52,48
chr1_34852621_34853120,6,31,43,11,5,10,13,26,18
chr1_34859401_34860026,12,71,60,47,11,34,7,42,40
chr1_34866280_34866779,9,19,27,19,5,10,5,24,8
chr1_34984836_34985335,8,20,19,14,5,12,0,9,4
chr1_35031643_35032142,5,60,53,60,15,14,4,39,57
chr1_35192638_35193508,32,128,114,149,18,68,21,105,95
chr1_35557070_35557997,20,123,108,90,16,41,17,84,102
chr1_35718644_35719143,11,54,47,25,5,10,4,10,14
chr1_35769693_35770337,13,36,45,45,11,20,14,43,43
chr1_35882917_35883416,10,41,41,30,7,17,3,37,16
chr1_35930859_35931448,11,49,61,39,10,18,8,37,21
chr1_36088611_36089230,7,69,76,64,13,28,13,62,69
chr1_36149240_36149855,22,151,146,151,15,63,18,141,126
chr1_36223877_36224601,29,164,132,158,18,73,26,180,184
chr1_36299816_36300967,17,85,107,19,7,16,6,26,15
chr1_36306706_36307299,11,28,37,30,11,25,9,30,32
chr1_36373748_36374247,7,36,39,20,3,10,7,19,26
chr1_36374493_36374992,11,57,67,16,2,10,6,41,43
chr1_36385756_36386922,29,138,103,114,17,53,33,136,121
chr1_36397280_36397779,3,22,17,30,8,15,3,10,20
chr1_36464119_36464618,8,44,52,43,10,16,8,50,47
chr1_36486555_36487054,9,27,41,27,4,13,4,27,43
chr1_37479634_37480133,18,80,78,13,4,12,9,43,30
chr1_37513956_37514125,4,10,9,4,1,2,1,2,3
chr1_37514484_37515140,12,48,40,43,9,10,8,37,28
chr1_37595630_37596166,9,62,49,46,11,28,7,58,45
chr1_37690242_37690828,14,79,46,108,8,33,16,74,92
chr1_37692096_37692684,16,62,96,94,19,47,14,79,79
chr1_37754992_37755491,6,34,34,7,1,6,1,5,6
chr1_37859382_37860057,21,80,78,60,12,37,11,75,90
chr1_37931465_37932168,11,68,57,64,13,31,13,57,41
chr1_37989876_37990392,8,35,50,62,10,23,8,41,38
chr1_38012317_38012895,16,132,116,78,15,41,16,90,76
chr1_38031402_38031901,8,32,29,9,2,7,2,11,4
chr1_38859576_38860149,13,75,83,59,13,41,9,78,70
chr1_38873083_38873729,20,92,66,104,14,39,16,74,87
chr1_38990880_38991582,15,45,52,49,4,29,8,56,34
chr1_39183622_39184121,5,23,33,6,2,3,3,7,9
chr1_39845667_39846166,6,23,43,18,4,17,10,34,44
chr1_39934180_39934679,13,41,42,9,3,6,6,43,42
chr1_40039725_40040877,42,185,160,157,21,77,25,156,137
chr1_40097028_40097527,11,21,23,37,5,9,2,16,16
chr1_40160981_40161480,10,53,43,26,7,11,7,26,42
chr1_40257664_40258330,14,99,87,107,15,45,14,93,109
chr1_40449976_40450543,11,67,39,29,6,14,6,38,22
chr1_40450940_40451439,5,35,37,3,0,0,2,7,3
chr1_40691341_40691903,29,174,159,116,14,57,17,92,88
chr1_40708877_40709376,2,17,30,30,9,16,1,14,24
chr1_40862121_40862620,10,42,45,59,10,24,3,31,29
chr1_40979416_40980209,21,80,46,70,19,27,11,92,58
chr1_41003571_41004070,5,13,17,26,2,9,10,19,31
chr1_41274746_41275245,7,30,18,18,10,19,3,27,36
chr1_41360875_41361396,16,64,73,93,20,35,7,80,76
chr1_41540804_41541340,12,33,51,14,4,8,5,4,7
chr1_41678275_41678774,9,29,25,16,1,9,6,8,12
chr1_41738892_41739748,35,166,151,19,4,13,12,32,38
chr1_41751231_41751730,5,48,44,25,5,12,3,13,25
chr1_41751960_41752459,8,43,32,17,2,12,3,13,9
chr1_41802821_41803321,12,45,34,9,2,4,9,19,30
chr1_41862889_41863388,10,16,31,8,0,10,2,5,3
chr1_42035901_42036400,4,34,25,46,7,18,1,25,17
chr1_42157575_42158074,11,28,30,17,4,9,3,12,15
chr1_42335153_42335652,6,33,30,30,7,20,2,27,26
chr1_42456352_42456976,19,63,43,46,11,17,5,37,55
chr1_42462951_42463460,18,64,70,50,13,36,4,55,74
chr1_42658054_42658553,12,40,43,39,7,18,7,17,36
chr1_42681936_42682581,11,76,86,113,13,35,19,81,84
chr1_42683023_42683192,5,10,10,8,0,3,1,14,11
chr1_42766640_42767505,29,173,129,170,31,66,26,136,136
chr1_42816737_42817526,21,69,53,112,14,38,7,94,76
chr1_42846283_42846809,14,62,66,59,15,30,15,57,62
chr1_42924091_42924590,6,34,29,40,10,12,7,35,23
chr1_42958572_42959150,9,60,52,32,12,17,9,44,36
chr1_43171972_43172561,10,67,60,43,6,28,3,38,28
chr1_43330821_43331320,7,11,17,9,0,3,0,7,6
chr1_43358516_43359109,11,41,61,46,12,20,13,51,58
chr1_43367639_43368138,8,44,37,31,5,14,3,30,27
chr1_43389517_43390016,15,45,47,32,6,20,4,43,29
chr1_43523099_43523598,9,21,25,4,5,6,3,6,2
chr1_43649744_43650699,34,157,143,141,31,64,31,146,118
chr1_43707151_43707650,7,79,57,34,6,21,3,56,27
chr1_43946341_43946936,16,96,81,51,9,28,14,63,59
chr1_43969568_43970067,6,37,44,29,11,22,11,32,37
chr1_43974450_43975110,14,73,70,51,17,32,14,74,71
chr1_44029995_44030494,18,42,35,37,7,9,4,29,33
chr1_44354996_44355681,13,48,67,38,16,19,6,41,39
chr1_44674293_44674792,15,70,53,51,7,26,4,34,34
chr1_44739475_44739991,11,43,47,52,14,21,14,54,54
chr1_44775248_44775747,7,36,39,40,4,19,6,43,46
chr1_44799649_44800457,17,129,112,101,18,51,20,90,99
chr1_44807153_44808292,57,238,196,46,11,23,20,128,106
chr1_44986382_44986881,12,60,53,42,5,37,6,55,45
chr1_45011205_45011374,4,12,13,8,1,4,3,4,6
chr1_45303362_45304352,15,106,103,111,16,45,13,112,109
chr1_45339850_45340589,9,77,78,78,19,36,9,76,59
chr1_45491014_45491618,30,123,103,91,17,46,14,74,79
chr1_45499874_45500493,18,110,89,84,26,43,15,79,70
chr1_45521535_45522111,17,82,70,61,11,18,9,44,46
chr1_45550472_45551113,18,62,59,49,12,19,11,39,46
chr1_45583171_45584266,22,119,122,97,23,53,22,121,99
chr1_45686249_45687517,48,182,144,222,15,93,18,185,162
chr1_45750261_45751078,17,116,89,92,11,47,15,91,91
chr1_45802605_45803104,9,20,25,11,6,8,4,20,14
chr1_46132403_46133331,25,156,150,139,21,61,27,120,127
chr1_46247094_46247899,24,111,118,120,23,48,25,124,130
chr1_46303137_46303729,20,88,97,67,13,38,6,70,70
chr1_46340461_46341327,28,116,100,48,20,30,12,50,71
chr1_46603795_46604512,18,99,83,76,10,26,9,67,75
chr1_46699570_46700069,15,46,28,6,1,9,3,22,16
chr1_46718914_46719509,26,139,127,77,7,41,10,58,84
chr1_47179026_47179525,5,32,54,20,3,5,2,15,26
chr1_47222375_47223131,12,57,62,18,1,9,5,16,8
chr1_47231535_47232034,8,39,32,15,1,4,5,12,12
chr1_47313942_47314611,34,169,156,148,13,94,29,186,151
chr1_47333415_47335018,44,222,148,85,17,60,28,108,74
chr1_47437511_47438011,11,86,56,46,4,35,9,50,38
chr1_47759515_47760014,10,41,50,9,3,7,0,3,7
chr1_47894591_47895090,15,81,65,15,5,11,6,31,24
chr1_50959898_50960528,17,103,93,84,20,35,14,82,80
chr1_50968296_50968795,17,50,32,44,2,20,4,38,35
chr1_51236042_51236575,10,57,53,36,14,17,8,45,20
chr1_51729412_51729983,10,44,60,72,13,41,6,43,53
chr1_51878530_51879097,35,114,117,132,14,68,29,130,154
chr1_52054977_52055476,11,41,41,19,3,14,4,21,19
chr1_52055939_52056545,15,53,48,51,10,26,11,42,50
chr1_52141751_52142250,8,21,20,14,7,11,5,16,12
chr1_52365909_52366632,32,162,148,196,15,80,20,154,169
chr1_52403967_52404811,10,67,41,70,15,33,5,57,50
chr1_52703162_52703661,5,30,15,21,2,19,10,30,24
chr1_53110516_53110685,2,6,10,0,1,4,0,5,5
chr1_53220144_53220692,17,89,73,41,13,17,9,61,58
chr1_53238362_53238861,10,46,53,40,6,19,4,33,46
chr1_53325926_53326588,16,63,75,43,8,26,13,105,97
chr1_53413083_53413993,20,92,83,13,9,10,2,9,7
chr1_53509135_53509634,11,54,55,10,2,11,5,22,11
chr1_53837963_53838909,23,133,116,93,14,52,17,70,97
chr1_53889727_53890226,10,32,38,22,7,10,4,25,32
chr1_53945146_53946486,25,138,113,207,23,56,23,162,174
chr1_54052981_54053771,45,215,205,176,21,94,26,194,192
chr1_54170969_54171468,9,52,35,8,5,3,3,5,4
chr1_54199888_54200477,17,64,64,46,16,23,6,47,48
chr1_54230804_54231303,10,36,29,4,3,2,2,2,6
chr1_54541897_54542845,32,127,131,43,9,22,14,67,61
chr1_54715319_54716034,9,48,48,30,8,28,8,26,39
chr1_54764355_54765002,29,149,110,145,23,77,20,149,145
chr1_54801092_54801691,17,30,36,19,6,13,7,19,21
chr1_54887026_54887600,14,82,73,55,8,17,9,53,53
chr1_54965786_54966362,10,22,34,20,2,14,10,19,24
chr1_55310612_55311111,9,24,26,8,0,2,2,5,3
chr1_55474045_55474544,9,26,33,7,1,1,2,17,7
chr1_56216036_56216535,9,38,42,2,1,5,2,6,3
chr1_56424676_56425577,47,190,190,13,1,12,10,48,42
chr1_56511554_56511723,1,15,10,2,1,2,0,5,4
chr1_56525466_56525965,16,83,68,15,6,17,3,49,48
chr1_56578685_56579556,8,48,39,28,5,16,7,25,14
chr1_58546414_58547076,15,119,107,67,13,33,13,71,71
chr1_58618195_58618694,11,126,109,9,4,2,2,30,44
chr1_58755297_58755796,4,23,32,3,3,3,9,18,28
chr1_58783821_58784558,46,205,202,113,27,56,27,147,155
chr1_58809314_58809813,9,40,20,2,3,3,0,6,3
chr1_58848811_58849310,11,54,40,9,5,4,1,12,8
chr1_59290187_59290686,10,58,51,6,2,12,5,15,22
chr1_59296323_59297157,31,123,100,87,16,55,14,95,106
chr1_59494179_59494678,12,37,38,6,3,9,3,9,10
chr1_59507050_59507549,9,65,49,9,5,4,6,19,24
chr1_59705782_59706281,9,40,47,5,2,0,1,10,2
chr1_61077721_61078220,16,75,58,58,8,29,9,51,57
chr1_61583620_61584119,9,44,38,2,1,2,1,3,3
chr1_61724890_61725441,17,70,80,43,6,31,10,58,67
chr1_62356373_62356872,11,66,46,7,2,7,4,34,38
chr1_62436052_62436908,71,331,265,268,27,163,41,276,260
chr1_62621890_62622389,11,57,48,7,3,5,4,21,28
chr1_62688105_62688653,7,44,26,17,3,12,11,40,22
chr1_62783529_62784395,24,104,77,51,17,40,8,64,69
chr1_63316810_63317762,12,45,49,25,6,17,7,32,25
chr1_63367216_63368168,33,206,127,100,20,43,14,117,105
chr1_63441700_63442199,15,66,42,7,2,5,4,10,14
chr1_63523009_63523752,13,108,92,81,13,28,10,57,72
chr1_63593368_63594037,17,74,49,53,11,32,8,51,34
chr1_63694141_63694640,7,26,23,9,0,2,3,10,14
chr1_64171240_64172157,16,61,56,8,1,8,5,44,32
chr1_64320491_64320990,10,23,29,2,3,6,4,18,17
chr1_64469465_64469964,7,27,21,12,4,4,3,11,9
chr1_64512273_64512772,9,27,29,12,2,7,9,41,46
chr1_64933262_64933761,8,39,31,6,5,10,5,19,26
chr1_64966014_64966513,11,43,36,16,3,12,8,36,19
chr1_64987497_64987996,9,50,31,4,1,7,2,11,10
chr1_65002393_65002892,20,82,58,12,4,8,1,31,33
chr1_65055664_65056660,12,55,43,19,3,24,6,48,47
chr1_65066578_65067077,11,49,58,28,3,15,7,31,36
chr1_65165454_65165953,11,71,68,5,1,3,7,33,37
chr1_65174461_65175051,6,22,20,9,1,7,6,27,19
chr1_65420078_65420670,31,253,209,179,20,80,30,268,204
chr1_65811877_65812431,10,71,52,46,4,30,13,89,97
chr1_65845375_65845874,10,60,44,15,3,8,4,22,17
chr1_65939556_65940059,11,34,39,4,2,2,3,22,19
chr1_66350101_66350600,7,24,22,9,2,6,4,2,7
chr1_66393478_66393977,19,78,82,19,1,5,1,32,31
chr1_66395324_66395928,10,82,70,15,4,5,13,52,70
chr1_66564277_66564776,10,55,53,11,0,2,4,81,61
chr1_66725776_66726275,15,50,25,7,7,8,2,22,24
chr1_66739435_66739934,7,29,38,11,2,8,0,5,11
chr1_66924681_66925325,53,275,202,163,14,94,22,207,225
chr1_66930003_66930653,38,195,121,123,11,50,13,137,135
chr1_67053048_67054665,26,143,72,73,14,62,17,119,84
chr1_67347981_67348480,15,85,82,0,3,1,2,1,6
chr1_67430220_67430825,28,135,136,113,21,85,23,120,148
chr1_67684050_67684549,14,84,94,4,2,3,3,6,4
chr1_67684837_67685461,33,239,166,143,26,108,34,217,226
chr1_67686744_67686905,3,47,37,6,0,7,5,47,49
chr1_67889887_67890386,14,55,47,6,0,4,4,16,24
chr1_68384339_68384838,16,83,50,9,1,4,6,24,29
chr1_68443021_68443520,8,40,18,16,0,10,2,24,20
chr1_68496837_68497439,27,144,115,81,11,35,11,143,125
chr1_69163139_69163638,12,45,54,9,2,4,2,6,3
chr1_69171952_69172451,14,109,70,3,1,0,1,2,12
chr1_69911152_69911844,18,54,70,16,1,9,10,87,85
chr1_69966872_69967437,7,17,32,8,2,6,0,5,3
chr1_70037950_70038449,7,26,27,5,4,3,2,13,15
chr1_70134110_70134609,10,33,30,1,4,0,1,4,4
chr1_70205390_70205955,17,99,86,54,8,38,10,51,69
chr1_70221115_70221884,18,147,122,68,12,53,10,100,113
chr1_70354028_70355031,29,140,88,62,21,51,13,78,86
chr1_70410592_70411359,28,183,120,91,13,61,12,158,180
chr1_70509982_70510481,12,82,58,12,1,8,3,26,30
chr1_70685197_70685696,10,36,40,16,6,10,10,43,56
chr1_70820324_70820823,8,51,43,8,4,4,4,6,3
chr1_71080835_71081562,15,109,119,66,12,36,11,85,118
chr1_71307450_71307949,10,45,47,7,4,3,3,29,21
chr1_71414018_71414517,7,50,39,8,0,8,7,26,31
